Equipment_ID,Equipment_Type,Age_Years,Operating_Hours,Failures_Last_Year,Maintenance_Due,Temperature,Vibration,Pressure,Inspection_Score,Previous_Incidents,Risk_Level
C0362,Compressor,9,9754,3,0,75.7,3.6,6.5,77,1,MEDIUM
C0363,Compressor,17,12754,0,0,85.4,4.8,4.9,64,0,LOW
T0364,Turbine,3,11681,2,0,53.1,4.4,9.4,80,0,LOW
C0365,Compressor,6,14572,2,0,71.6,6.3,8.7,65,0,LOW
T0366,Turbine,5,9964,4,0,75.3,4.6,10.1,76,4,HIGH
C0367,Compressor,5,7493,0,1,62.8,1.2,8.2,82,0,LOW
B0368,Boiler,15,11229,1,1,88.8,3.9,10.4,70,2,MEDIUM
C0369,Compressor,17,12615,1,0,86.2,3.6,8.1,68,1,MEDIUM
T0370,Turbine,9,11759,0,0,80.3,5,6.8,94,0,LOW
M0371,Motor,3,6439,0,1,51.6,4.3,7.5,81,0,LOW
C0372,Compressor,20,10765,0,0,86.1,5.4,8.9,73,0,LOW
M0373,Motor,17,12886,3,1,90.2,8.1,6.7,45,1,HIGH
B0374,Boiler,10,14279,0,1,61.4,3.7,6,80,0,LOW
P0375,Pump,3,7511,0,0,67.2,2.3,6.5,83,0,LOW
B0376,Boiler,18,12483,1,0,103.6,5,4.1,65,0,MEDIUM
C0377,Compressor,18,8504,1,1,84.9,5,7.5,40,1,MEDIUM
M0378,Motor,17,2246,0,0,84.5,2.7,4.2,67,0,LOW
M0379,Motor,3,12911,1,0,63.2,3.5,7.4,94,0,LOW
T0380,Turbine,3,4839,1,0,56.8,3.1,8.6,86,0,LOW
M0381,Motor,6,9551,0,0,49.4,3.8,6.3,81,0,LOW
T0382,Turbine,13,14208,1,1,71.9,4.8,9.8,71,0,LOW
P0383,Pump,15,3376,2,1,72.4,5.5,5.4,56,0,MEDIUM
C0384,Compressor,9,4009,2,1,88.1,3.7,9.4,64,0,MEDIUM
T0385,Turbine,4,12185,3,0,69.1,4.8,8.9,81,1,LOW
P0386,Pump,14,10154,3,0,82.2,7.1,5.3,84,2,HIGH
M0387,Motor,5,12824,1,0,72.6,2.1,11.4,96,1,LOW
M0388,Motor,2,2827,1,0,52,3.1,7.2,100,0,LOW
P0389,Pump,11,7979,1,0,68.4,4.6,6,80,0,LOW
M0390,Motor,9,10805,1,1,72,3.2,5.2,73,0,LOW
P0391,Pump,3,10832,2,1,73.7,3.1,7.3,59,2,MEDIUM
T0392,Turbine,9,11408,2,0,78.5,5,7.4,70,0,LOW
T0393,Turbine,3,13504,1,0,64.5,1.8,7.5,87,0,LOW
P0394,Pump,2,9569,3,0,67.6,4.8,7.5,69,2,MEDIUM
T0395,Turbine,12,13406,1,0,79.2,3.4,8.2,65,0,LOW
T0396,Turbine,10,5285,5,1,86.6,8.3,7.9,38,1,HIGH
T0397,Turbine,9,7910,2,0,66.3,7.6,4.7,75,0,LOW
B0398,Boiler,15,9561,1,1,80.9,3.9,7.1,68,0,LOW
C0399,Compressor,8,3196,2,0,64.4,5.2,4,86,3,MEDIUM
M0400,Motor,5,4747,3,0,72.1,4,8.4,82,2,MEDIUM
B0401,Boiler,11,9843,0,1,67.7,4.9,5.5,64,0,LOW
T0402,Turbine,2,6978,4,0,90.3,3.6,8.4,65,1,MEDIUM
P0403,Pump,15,6607,1,0,80.2,5.5,9.3,55,0,LOW
T0404,Turbine,6,1769,2,0,58.8,3.3,6.2,71,0,LOW
C0405,Compressor,8,11613,3,0,74.9,5.1,9.5,66,1,MEDIUM
T0406,Turbine,5,1780,1,1,69.7,2.2,6.6,78,0,LOW
P0407,Pump,16,10908,0,0,92.4,5.4,9.6,63,0,LOW
C0408,Compressor,18,7303,2,1,83.3,5.1,7.1,54,1,MEDIUM
T0409,Turbine,6,4983,2,0,57.3,5,6.3,79,1,LOW
C0410,Compressor,5,10503,1,0,72,3,8.3,87,0,LOW
M0411,Motor,16,12551,1,1,71,5,6.6,68,0,LOW
M0412,Motor,13,14537,3,0,80,6.2,6.6,55,1,MEDIUM
T0413,Turbine,5,9714,5,0,75.4,5.3,7.8,74,0,MEDIUM
C0414,Compressor,13,1521,0,0,73.9,4.2,6.9,76,0,LOW
P0415,Pump,17,14070,3,0,95,8.5,9.9,55,0,HIGH
T0416,Turbine,18,11512,2,0,82.5,5.2,4.7,67,0,LOW
M0417,Motor,8,10127,5,0,79.8,8.1,8.5,73,2,HIGH
M0418,Motor,13,8569,1,0,77.4,6.4,8.2,65,0,LOW
T0419,Turbine,19,11422,2,0,90.7,5.3,7.9,56,1,MEDIUM
C0420,Compressor,3,13232,1,1,63.3,1.4,9.3,85,0,LOW
M0421,Motor,8,6784,1,0,73.5,4.3,7.2,79,0,LOW
C0422,Compressor,2,5583,3,1,73.8,3.7,7.6,81,1,MEDIUM
M0423,Motor,8,6946,0,0,70.1,5.4,7.9,88,1,LOW
M0424,Motor,13,5941,3,0,87.1,6.1,8,79,0,MEDIUM
B0425,Boiler,13,7267,2,1,67.8,4.4,7,48,0,MEDIUM
M0426,Motor,1,8128,2,0,62.9,2.2,8.4,89,0,LOW
P0427,Pump,6,12889,1,1,70.8,4.9,6.3,70,0,LOW
T0428,Turbine,19,12029,1,0,92.3,4.9,6.4,67,0,LOW
T0429,Turbine,16,13275,1,0,76.5,5.2,6.5,54,0,LOW
C0430,Compressor,8,3461,2,0,67.7,5.7,9.6,80,2,MEDIUM
M0431,Motor,1,12435,2,0,57.9,3,2.8,85,0,LOW
P0432,Pump,16,12551,0,1,83.3,4.3,7.6,57,0,LOW
C0433,Compressor,9,1685,2,0,82.8,4.7,7.7,64,3,MEDIUM
B0434,Boiler,13,3160,0,1,71.2,4.8,4.5,65,0,LOW
C0435,Compressor,11,8031,1,1,81.8,5.1,7.8,77,0,LOW
C0436,Compressor,13,13180,2,0,81.5,5.1,8.3,68,1,MEDIUM
M0437,Motor,10,13258,0,0,69,3.6,7.9,87,0,LOW
B0438,Boiler,4,10759,4,1,71.3,5,4.2,82,1,MEDIUM
C0439,Compressor,6,6341,4,1,82,3.9,10.2,67,0,MEDIUM
P0440,Pump,7,1038,1,0,71.1,4.1,6.2,79,0,LOW
P0441,Pump,5,11736,0,0,80.7,5,8,95,0,LOW
T0442,Turbine,11,5875,6,0,82.7,6.8,9.9,52,0,HIGH
B0443,Boiler,13,2256,0,1,78.6,3,5.7,65,0,LOW
B0444,Boiler,19,12182,1,0,82.3,4.5,8.3,50,0,LOW
T0445,Turbine,10,8697,0,1,63,4.4,6.4,81,0,LOW
C0446,Compressor,10,3196,2,0,75.9,5.4,4.5,71,1,LOW
B0447,Boiler,11,12660,2,0,78.6,4.9,9.4,74,0,LOW
P0448,Pump,7,8165,0,0,88.8,1.9,5.8,79,0,LOW
P0449,Pump,18,11900,3,0,89.5,6.9,6.6,59,2,HIGH
M0450,Motor,4,1301,4,0,64,3.5,7.6,71,3,MEDIUM
B0451,Boiler,2,8527,4,0,72.2,5.3,8.6,79,3,MEDIUM
C0452,Compressor,14,7381,2,0,65.4,6.5,7.5,74,2,MEDIUM
T0453,Turbine,13,1646,4,0,85.8,5.2,9,67,1,MEDIUM
T0454,Turbine,12,13950,3,0,82.1,4.1,5.9,66,2,MEDIUM
C0455,Compressor,7,10951,3,1,80.9,7,6.8,53,1,HIGH
M0456,Motor,2,13543,3,0,74.8,3.7,7.7,100,1,LOW
T0457,Turbine,13,9789,1,0,73.5,6,10.1,87,0,LOW
B0458,Boiler,14,9853,3,0,83.8,6,7.7,69,3,HIGH
M0459,Motor,17,5330,1,1,77.4,5.1,8.9,51,1,MEDIUM
B0460,Boiler,9,10560,2,0,65.5,5.3,7.7,75,0,LOW
P0461,Pump,17,11773,4,1,95,6.3,7.5,41,0,HIGH
M0462,Motor,8,8003,0,1,56.8,3.4,6.6,88,2,LOW
T0463,Turbine,2,13060,6,0,72.7,6,8.5,75,1,MEDIUM
M0464,Motor,13,4537,2,0,72.5,3.8,8.5,62,1,LOW
M0465,Motor,3,14057,1,1,66.9,3.6,9.4,79,0,LOW
M0466,Motor,16,13500,3,0,102.4,6.2,8.4,68,1,HIGH
M0467,Motor,6,5558,0,0,53.6,2.7,8.8,100,1,LOW
B0468,Boiler,19,7579,0,1,68.7,3.4,5.6,70,0,LOW
P0469,Pump,7,9474,1,0,67.5,5.7,6.7,89,1,LOW
C0470,Compressor,10,12870,4,1,82.1,7.4,7.1,56,1,HIGH
M0471,Motor,9,10678,2,0,76.2,5.9,8.1,50,1,MEDIUM
T0472,Turbine,2,5082,4,1,66.4,4.7,7.7,75,0,MEDIUM
M0473,Motor,15,14718,5,0,90.9,5.7,9.6,53,4,HIGH
T0474,Turbine,5,5183,1,0,68.4,5.8,5.9,88,0,LOW
B0475,Boiler,4,14355,4,0,81.3,5.3,8.3,77,2,MEDIUM
T0476,Turbine,20,9652,1,1,72.4,4.8,8.3,41,0,MEDIUM
C0477,Compressor,4,11517,1,0,61,3.8,4.2,93,0,LOW
P0478,Pump,18,4754,1,0,86.7,6.8,10.5,69,0,MEDIUM
T0479,Turbine,4,11660,0,0,53.7,2.6,6.6,98,0,LOW
T0480,Turbine,17,2724,1,0,97.3,6.8,4.3,73,0,MEDIUM
P0481,Pump,12,2376,4,0,79.9,7.9,8.4,67,1,HIGH
C0482,Compressor,17,11935,2,0,86.2,4.7,7.7,58,2,MEDIUM
M0483,Motor,10,9706,1,0,77.4,3.4,7.2,77,1,LOW
T0484,Turbine,1,9894,1,0,54.8,4,8.8,95,2,LOW
P0485,Pump,18,2653,1,0,70.2,2.1,8.4,64,0,LOW
B0486,Boiler,18,3066,2,0,84.6,5.9,8,68,0,MEDIUM
P0487,Pump,14,1022,2,1,90.2,3.8,8.3,64,1,MEDIUM
B0488,Boiler,15,3460,0,0,74.8,3.7,6.8,90,0,LOW
C0489,Compressor,12,14341,1,0,69.2,4.1,10,92,1,LOW
M0490,Motor,4,6926,2,0,74.4,3.6,5.4,85,0,LOW
P0491,Pump,3,7251,2,1,62.9,3.2,7.8,48,3,MEDIUM
T0492,Turbine,20,10496,2,1,86.9,5.1,7.7,58,0,MEDIUM
C0493,Compressor,12,8295,0,1,74.2,6.6,8.2,66,0,LOW
P0494,Pump,7,4300,1,0,74.7,6,6,77,0,LOW
T0495,Turbine,11,14422,1,0,93.6,3,4.7,73,0,LOW
P0496,Pump,1,7279,2,0,69.1,5.4,7.8,87,1,LOW
B0497,Boiler,6,9553,4,0,85.3,5.2,8.6,78,1,MEDIUM
P0498,Pump,15,8353,4,0,85.5,7.2,10.4,45,4,HIGH
P0499,Pump,15,4727,1,1,72.3,4.9,5.4,52,1,MEDIUM
P0500,Pump,19,7272,3,1,93,6.2,9.6,49,0,HIGH
C0501,Compressor,11,6995,2,1,78.4,6.2,11.2,69,0,MEDIUM
P0502,Pump,2,10476,1,0,52.4,3.2,6.7,98,0,LOW
T0503,Turbine,14,1514,1,1,77.6,4.2,5.4,57,1,MEDIUM
B0504,Boiler,2,1448,2,0,67.2,2.1,7,81,0,LOW
B0505,Boiler,4,7019,2,0,69.9,2.9,7.6,81,0,LOW
P0506,Pump,17,14794,1,1,87.5,3.3,8.1,59,0,MEDIUM
C0507,Compressor,3,6343,2,0,67.8,3.9,6.7,98,0,LOW
C0508,Compressor,13,11047,0,0,70.4,2.5,9.3,60,0,LOW
T0509,Turbine,9,14161,1,0,67.4,3.7,5.6,78,0,LOW
P0510,Pump,7,9033,1,1,58.9,5.4,4.7,65,0,LOW
B0511,Boiler,15,12754,1,1,94.8,6.4,9,48,0,MEDIUM
C0512,Compressor,11,3520,3,0,80.6,5.7,4.5,76,0,MEDIUM
P0513,Pump,20,4081,0,1,83.2,4.9,6.7,60,0,LOW
C0514,Compressor,2,2428,2,0,56.6,6,12.3,92,0,LOW
C0515,Compressor,15,4967,0,0,101,4.9,7,80,0,LOW
B0516,Boiler,14,7445,3,1,76.4,5.8,6.2,51,1,MEDIUM
M0517,Motor,20,10114,1,1,84.6,4,7.2,49,0,MEDIUM
T0518,Turbine,11,12329,2,1,80.8,5.5,7.5,82,2,MEDIUM
T0519,Turbine,3,3159,1,0,67.3,4.1,7.5,89,0,LOW
B0520,Boiler,17,6132,4,1,100.2,6.6,9.2,51,3,HIGH
C0521,Compressor,12,14704,1,0,90.5,4.8,5.7,74,0,LOW
P0522,Pump,15,3547,0,1,81.5,3.8,9.5,50,1,MEDIUM
C0523,Compressor,16,3979,2,0,76.6,5.6,8,47,0,MEDIUM
B0524,Boiler,5,11473,1,1,63.4,0.5,8.4,74,5,MEDIUM
T0525,Turbine,20,3649,2,0,93.5,6.1,6.7,64,2,HIGH
C0526,Compressor,6,9505,2,0,86.5,5.5,9.5,88,0,LOW
T0527,Turbine,19,11805,2,0,78.3,5.5,7.2,65,1,MEDIUM
P0528,Pump,5,4083,4,0,84.1,5.6,8.6,67,1,MEDIUM
T0529,Turbine,3,11448,0,0,60.9,1.5,5.6,100,0,LOW
T0530,Turbine,1,2037,1,1,66.2,3.3,5.8,78,0,LOW
M0531,Motor,6,14944,3,0,72.2,4.7,8.9,79,0,LOW
M0532,Motor,15,4489,1,0,73.8,3.8,6.6,69,0,LOW
M0533,Motor,2,8604,0,0,64,3.9,5.7,95,0,LOW
T0534,Turbine,3,8544,3,0,73.7,5.7,6.9,93,0,LOW
B0535,Boiler,17,3634,0,0,88.3,3.8,8,64,0,LOW
T0536,Turbine,12,4983,1,0,75.9,5.1,6.4,64,0,LOW
B0537,Boiler,18,2778,0,0,77.2,5.3,6.8,68,0,LOW
B0538,Boiler,15,8902,1,0,68,5.7,7.3,66,1,LOW
M0539,Motor,12,6110,2,0,85.6,3.2,4.7,97,0,LOW
C0540,Compressor,16,6189,2,0,88.4,7,5.4,69,0,MEDIUM
P0541,Pump,8,13087,1,0,62.3,3.2,7.8,78,0,LOW
M0542,Motor,14,8378,2,0,77.7,5.1,6.5,58,0,LOW
M0543,Motor,17,2124,3,0,85.8,9.8,9.5,42,0,HIGH
C0544,Compressor,8,1697,0,1,55.1,3.6,8.5,69,0,LOW
P0545,Pump,15,3179,3,1,80,5.9,9,54,2,HIGH
T0546,Turbine,14,10596,1,1,69.9,2.2,10,74,0,LOW
T0547,Turbine,18,6251,3,0,87.7,8.5,7.8,65,3,HIGH
M0548,Motor,20,10235,2,1,85.1,4.8,8.6,50,0,MEDIUM
P0549,Pump,7,2929,4,1,64.5,4.6,7.3,61,5,HIGH
M0550,Motor,3,2013,2,1,81.7,3.5,11.3,81,3,MEDIUM
B0551,Boiler,12,1226,4,0,95,8.3,11.2,58,0,HIGH
M0552,Motor,3,8321,1,0,56.3,4.1,7.3,100,0,LOW
M0553,Motor,20,2828,1,1,90.2,5.5,7.9,50,0,MEDIUM
T0554,Turbine,14,8909,3,0,88.3,6.6,9.9,62,1,MEDIUM
T0555,Turbine,15,6588,2,0,93,4.9,7.4,47,0,MEDIUM
T0556,Turbine,14,14109,0,0,69.5,4.3,6,73,0,LOW
B0557,Boiler,7,3023,0,0,74.2,3.1,8.3,94,0,LOW
T0558,Turbine,17,5966,1,0,79.1,6.4,7.4,57,0,LOW
P0559,Pump,12,11644,3,0,71.3,7.1,8.2,60,1,MEDIUM
C0560,Compressor,20,11277,4,0,102.8,8.4,6.9,54,0,HIGH
P0561,Pump,4,6891,3,0,80.3,4.3,5.3,69,3,MEDIUM
P0562,Pump,9,13475,0,0,89.2,4.2,7.4,92,0,LOW
T0563,Turbine,6,2080,1,0,57.4,3.5,8.7,81,0,LOW
C0564,Compressor,16,6036,2,0,90.6,4.5,7.3,60,0,MEDIUM
C0565,Compressor,2,11512,4,1,66.7,4.6,10.4,63,1,MEDIUM
C0566,Compressor,8,12382,1,1,76.3,4,6.2,77,0,LOW
B0567,Boiler,11,11822,1,0,62.7,5.4,5.7,96,0,LOW
T0568,Turbine,13,3563,1,0,67.4,4.4,7.2,79,0,LOW
C0569,Compressor,17,4292,2,0,80.3,4.5,7.5,54,0,LOW
B0570,Boiler,8,13813,1,1,70.6,4,8.5,83,2,MEDIUM
M0571,Motor,18,4586,2,0,82.9,6.2,6.4,57,0,MEDIUM
M0572,Motor,18,5431,0,0,87.3,4.9,9.1,79,1,LOW
B0573,Boiler,14,7841,3,0,93.2,7.3,10.9,69,1,HIGH
B0574,Boiler,15,14366,6,0,100.3,9.7,8.7,25,3,HIGH
T0575,Turbine,6,7643,1,1,80,2.9,9.2,69,0,LOW
T0576,Turbine,11,12139,2,1,80.8,4.3,6,72,0,MEDIUM
M0577,Motor,13,4959,2,0,70.8,4.1,9.2,70,0,LOW
C0578,Compressor,1,12005,2,0,73.4,4.4,9.2,82,1,LOW
M0579,Motor,6,11775,2,0,65.2,6,8.9,76,1,LOW
C0580,Compressor,9,1161,2,0,81.8,4.4,7.6,61,1,MEDIUM
C0581,Compressor,8,1593,1,0,82.6,3.6,2.9,81,2,LOW
T0582,Turbine,11,12451,4,0,87.2,8.2,7.2,82,2,HIGH
P0583,Pump,19,13347,2,0,77.5,6.9,6.7,64,1,MEDIUM
P0584,Pump,9,12154,0,0,61.2,3.9,5.5,100,0,LOW
B0585,Boiler,17,13080,0,1,91.1,3.1,7.2,68,0,MEDIUM
T0586,Turbine,12,4390,2,0,77.6,6,7,79,0,LOW
C0587,Compressor,14,6997,1,1,79.6,3.7,6.1,79,0,LOW
P0588,Pump,15,7354,3,1,92.6,5,6.3,56,3,HIGH
C0589,Compressor,16,13693,2,0,90.6,5.4,6.5,62,0,MEDIUM
P0590,Pump,20,1663,2,1,93.2,5.7,9.3,56,1,HIGH
P0591,Pump,1,10324,0,0,54.8,1.9,6,100,0,LOW
P0592,Pump,10,14387,3,0,76.5,3.9,7.1,66,0,LOW
T0593,Turbine,8,1541,3,0,82.9,6.5,7.2,68,1,MEDIUM
M0594,Motor,18,6433,1,1,89.4,6.8,7.8,57,1,MEDIUM
C0595,Compressor,1,6093,1,0,57.4,0.5,8,100,1,LOW
T0596,Turbine,2,14428,3,0,75.7,5.6,3.3,91,0,LOW
T0597,Turbine,1,12166,2,1,61.5,2.6,9.1,71,1,MEDIUM
T0598,Turbine,1,1867,4,0,61.7,6,10.4,97,0,LOW
T0599,Turbine,9,11258,1,1,65.4,4,5.7,67,0,LOW
T0600,Turbine,13,9623,3,1,75.7,6.1,6.4,54,1,MEDIUM
B0601,Boiler,1,14027,2,1,60.3,3.3,6.9,75,0,LOW
C0602,Compressor,13,6469,3,1,93.4,7.5,6.8,78,1,HIGH
T0603,Turbine,20,13470,1,1,81.6,4.2,7.6,54,0,MEDIUM
C0604,Compressor,7,7256,1,0,70,4.5,4.4,77,2,LOW
B0605,Boiler,2,10398,2,1,58.7,5,5.9,87,0,LOW
B0606,Boiler,6,11720,1,0,64.9,4.5,9.6,91,0,LOW
C0607,Compressor,7,2169,0,0,53.4,5.8,5.6,86,0,LOW
P0608,Pump,14,1830,1,0,77.2,4.2,9.2,78,1,LOW
M0609,Motor,18,2651,1,1,83.5,6.5,7.8,49,0,MEDIUM
P0610,Pump,15,2136,2,1,87.8,5.5,4.9,53,1,MEDIUM
P0611,Pump,2,3810,3,1,68.8,5.9,8.9,60,0,MEDIUM
P0612,Pump,10,9667,5,0,75.4,7,8.3,51,4,HIGH
T0613,Turbine,12,12002,3,0,90.7,5.4,7.2,81,2,MEDIUM
B0614,Boiler,17,10518,2,0,88.2,7.5,8,75,2,HIGH
P0615,Pump,8,14258,3,1,77.6,4.7,8.6,66,1,MEDIUM
B0616,Boiler,11,2019,2,1,77.4,3.4,8.7,78,0,MEDIUM
C0617,Compressor,3,6237,3,0,64.4,3.9,9.7,81,2,MEDIUM
M0618,Motor,6,11028,2,0,71.7,5,8.2,79,0,LOW
C0619,Compressor,9,13448,1,0,75.3,5.7,5.2,80,0,LOW
C0620,Compressor,6,11640,4,0,62,5.8,7.5,72,0,MEDIUM
T0621,Turbine,9,13485,4,1,76.2,7.7,12.6,58,3,HIGH
M0622,Motor,7,2283,2,0,69.5,2.8,8.7,89,0,LOW
C0623,Compressor,9,1659,3,0,79.5,4.9,11.5,73,0,LOW
C0624,Compressor,18,14358,2,0,97.5,5.8,9.7,65,0,MEDIUM
M0625,Motor,12,3010,1,0,69.8,4.4,7.7,83,0,LOW
M0626,Motor,8,9590,2,1,69,4.7,8.1,73,1,MEDIUM
C0627,Compressor,8,2733,1,0,65.9,4.7,7.2,74,0,LOW
M0628,Motor,18,14870,2,0,81.6,5.6,5,49,0,MEDIUM
C0629,Compressor,20,3125,1,0,85.2,5.9,7.3,61,0,LOW
C0630,Compressor,15,3171,0,1,83.7,4.2,8.8,64,0,LOW
T0631,Turbine,7,9266,2,1,63.1,3.3,6.7,72,2,MEDIUM
P0632,Pump,11,13889,1,1,77.9,4.2,7.9,68,0,LOW
C0633,Compressor,20,4471,2,0,77.4,6.2,8.9,77,2,MEDIUM
B0634,Boiler,16,10028,3,0,83.5,6.3,6.5,49,1,MEDIUM
P0635,Pump,4,6624,0,0,58.4,2.6,6.3,77,1,LOW
P0636,Pump,6,9691,0,1,77.4,3,5.5,84,0,LOW
P0637,Pump,3,14884,2,0,63.3,3.3,6.4,84,2,LOW
T0638,Turbine,9,9329,1,0,53.9,5.6,5.4,82,0,LOW
C0639,Compressor,10,3097,2,1,60,3.5,6.2,71,0,LOW
T0640,Turbine,14,6068,3,1,85.3,5.3,10,65,0,MEDIUM
C0641,Compressor,11,14930,2,0,82.4,8.4,6.2,60,1,MEDIUM
T0642,Turbine,18,12888,3,0,94,5.6,8.1,51,2,HIGH
T0643,Turbine,12,11077,3,0,83.3,4.3,7.1,70,2,MEDIUM
B0644,Boiler,12,7397,3,1,91.3,6.8,9.7,65,1,HIGH
T0645,Turbine,13,3757,1,1,73.2,2.2,9.3,82,0,LOW
M0646,Motor,13,4920,1,0,84.7,4.4,8.6,80,0,LOW
B0647,Boiler,19,9186,1,0,73.4,8.1,7.8,61,1,MEDIUM
T0648,Turbine,19,2900,0,1,76.3,3,6.7,51,1,MEDIUM
P0649,Pump,14,3610,2,1,67.5,3.1,5.8,54,2,MEDIUM
M0650,Motor,4,7900,2,0,64.8,2.2,10.5,80,1,LOW
M0651,Motor,13,13178,3,0,83.1,7.1,6.8,70,0,MEDIUM
M0652,Motor,8,2449,0,0,67.9,4.5,8,88,0,LOW
B0653,Boiler,19,9738,1,0,87,4.9,8.9,51,0,LOW
T0654,Turbine,12,6017,2,1,71.6,6,6.8,59,0,MEDIUM
T0655,Turbine,18,13868,0,1,80.5,6.4,8.6,67,0,MEDIUM
P0656,Pump,6,14660,2,1,58,6.4,8.7,76,1,MEDIUM
P0657,Pump,18,8999,2,0,98.9,5.8,10.2,64,2,HIGH
M0658,Motor,19,7052,2,1,87.1,3.5,6.9,53,1,MEDIUM
P0659,Pump,5,11195,1,0,61.6,2.5,5.4,100,0,LOW
B0660,Boiler,9,3096,4,0,93.2,5.6,7.4,70,1,MEDIUM
T0661,Turbine,3,9895,0,0,49.6,2.1,7.3,92,0,LOW
M0662,Motor,10,7404,3,0,70,5.4,8,63,0,LOW
P0663,Pump,19,11595,0,1,74.7,6.2,6.4,60,0,LOW
B0664,Boiler,3,10817,1,0,62,4.7,4.4,71,0,LOW
B0665,Boiler,15,4331,6,0,99,8.2,9.5,48,1,HIGH
P0666,Pump,1,13925,2,0,68.4,4.9,10.6,89,1,LOW
T0667,Turbine,7,8462,1,0,89.1,4.2,8,72,0,LOW
P0668,Pump,12,6105,2,0,61,5.3,8.5,63,0,LOW
M0669,Motor,17,3978,5,0,100.4,9.1,9.4,56,0,HIGH
P0670,Pump,20,13928,1,1,83.5,5.8,7.9,54,0,MEDIUM
B0671,Boiler,5,3839,3,0,66.8,7.3,9.3,80,0,MEDIUM
P0672,Pump,4,4384,3,0,65,3,8.5,83,1,LOW
T0673,Turbine,12,11851,0,0,65.7,3.2,6.5,79,0,LOW
C0674,Compressor,20,11053,4,1,110.5,7.6,7,50,0,HIGH
P0675,Pump,18,12048,3,0,97.7,7.3,7.5,57,0,HIGH
T0676,Turbine,17,14493,1,0,83.7,6.8,7.8,54,0,MEDIUM
T0677,Turbine,19,1685,2,0,100.3,6.2,7.1,71,2,HIGH
B0678,Boiler,9,8531,1,0,59.4,2.3,7.8,83,0,LOW
T0679,Turbine,4,5283,1,0,53.4,4.3,8,84,0,LOW
T0680,Turbine,2,8736,0,1,45,3.2,8.2,78,0,LOW
T0681,Turbine,4,8710,0,0,55.4,0.5,8.9,96,0,LOW
T0682,Turbine,2,2619,2,0,65.3,3.7,7.7,87,2,LOW
M0683,Motor,15,14975,2,1,84.3,3.7,5.6,70,0,MEDIUM
M0684,Motor,2,14272,2,1,65.2,2.9,7.1,78,1,MEDIUM
B0685,Boiler,4,13835,0,0,49.7,1.5,7.1,86,0,LOW
P0686,Pump,6,7868,0,0,70.4,3.9,4.2,96,0,LOW
T0687,Turbine,7,2431,1,0,70.4,3.9,9.4,91,1,LOW
P0688,Pump,10,10067,2,0,81.9,3.4,7.8,75,0,LOW
P0689,Pump,19,5713,1,1,71.4,6.6,7.9,59,0,MEDIUM
B0690,Boiler,19,11653,2,1,92,4.5,9.6,49,2,HIGH
T0691,Turbine,12,10557,3,1,72.5,6.3,7,60,1,MEDIUM
T0692,Turbine,3,10435,0,0,56.3,1.5,7.9,100,0,LOW
C0693,Compressor,13,5998,0,0,78.8,3.5,6.8,82,0,LOW
P0694,Pump,18,1162,3,0,91.7,7.4,7.6,54,2,HIGH
P0695,Pump,8,2974,0,1,60.2,3.8,5.8,88,0,LOW
M0696,Motor,15,4291,2,0,83.6,7.3,10.1,46,1,MEDIUM
C0697,Compressor,1,9461,6,0,62.2,6.3,8.2,91,2,HIGH
M0698,Motor,3,1631,0,1,68.7,2.8,8,73,0,LOW
M0699,Motor,8,1905,1,1,68.4,3.4,4.5,69,0,LOW
M0700,Motor,4,12663,3,1,78.9,4.9,9.7,72,1,MEDIUM
B0701,Boiler,16,12445,2,0,80.8,6.3,9.2,62,0,MEDIUM
B0702,Boiler,10,3014,2,1,71.8,4.8,7.7,74,2,MEDIUM
M0703,Motor,12,10833,0,1,66.9,1.6,6.7,62,0,LOW
C0704,Compressor,14,8896,3,0,92,6.6,8.5,65,1,MEDIUM
P0705,Pump,14,1204,3,0,79.3,6.6,11.3,58,3,HIGH
C0706,Compressor,2,1581,0,0,63.2,1.5,4.4,99,0,LOW
T0707,Turbine,5,6675,2,1,65.4,2.6,8.8,74,1,MEDIUM
B0708,Boiler,5,10032,0,0,46.7,4.5,5.6,92,0,LOW
P0709,Pump,6,6347,4,0,71.4,6.3,8.2,69,0,MEDIUM
P0710,Pump,13,10911,0,0,65.1,3.7,6.6,73,0,LOW
T0711,Turbine,9,14930,2,1,74.8,3.4,7,70,0,MEDIUM
T0712,Turbine,15,3643,1,0,71,4,7.3,77,0,LOW
M0713,Motor,14,9017,0,0,83.4,5.7,5.3,70,0,LOW
B0714,Boiler,7,3297,1,0,67.8,3.9,8.8,76,0,LOW
B0715,Boiler,20,1874,2,1,89.6,5.7,4.9,53,0,MEDIUM
C0716,Compressor,2,6560,5,0,78.2,6.4,9.3,76,0,MEDIUM
M0717,Motor,7,1689,1,0,76.2,2.8,6.8,90,0,LOW
M0718,Motor,6,5000,2,1,69.8,6.1,5.8,66,0,MEDIUM
M0719,Motor,17,12333,0,0,74.3,6.2,7.3,55,0,LOW
M0720,Motor,2,10614,1,1,46.8,2.4,5,80,1,LOW
B0721,Boiler,3,1671,5,0,69,5.2,8.6,68,1,MEDIUM
B0722,Boiler,5,8927,2,0,63.6,1,5.5,82,3,MEDIUM
M0723,Motor,5,2171,0,0,63.4,1,7.7,86,1,LOW
C0724,Compressor,1,6591,1,0,56.7,1.2,5.9,100,0,LOW
P0725,Pump,8,12918,2,1,78.5,4.8,6.9,67,2,MEDIUM
